"","GMUID","Bulls","Cows","Calves","Harvest","Hunters","Success","Days","Season","Year","Percent_Bulls","Percent_Cows","Percent_Calves","Percent_Days"
"103","171",NA,NA,NA,63,251,NA,NA,3,2015,0.553,0.365,0.027,3.076
"104","171",NA,NA,NA,36,162,NA,NA,4,2015,0.521,0.398,0.03,2.977
"105","18",NA,NA,NA,22,907,NA,NA,1,2015,0.585,0.437,0.056,4.052
"106","18",NA,NA,NA,-32,967,NA,NA,2,2015,0.571,0.46,0.012,4.613
"107","18",NA,NA,NA,-20,976,NA,NA,3,2015,0.394,0.557,0.009,4.561
"108","18",NA,NA,NA,-12,920,NA,NA,4,2015,0.18,0.694,0.019,3.772
"109","181",NA,NA,NA,19,168,NA,NA,1,2015,0.369,0.538,0.004,3.186
"110","181",NA,NA,NA,19,298,NA,NA,2,2015,0.377,0.553,0.006,4.347
"111","181",NA,NA,NA,22,323,NA,NA,3,2015,0.397,0.556,0.01,4.669
"112","181",NA,NA,NA,22,275,NA,NA,4,2015,0.459,0.522,0.011,3.835
"113","19",NA,NA,NA,8,109,NA,NA,1,2015,0.989,0.056,0,3.766
"114","19",NA,NA,NA,10,187,NA,NA,2,2015,1.005,0.032,0,4.341
"115","19",NA,NA,NA,12,122,NA,NA,3,2015,0.956,0.06,0,4.469
"116","19",NA,NA,NA,8,49,NA,NA,4,2015,1.02,-0.009,0,4.13
"117","191",NA,NA,NA,13,39,NA,NA,1,2015,0.946,0.063,0.004,3.799
"118","191",NA,NA,NA,13,93,NA,NA,2,2015,0.899,0.065,0.006,4.348
"119","191",NA,NA,NA,12,94,NA,NA,3,2015,0.699,0.126,0.014,4.176
"120","191",NA,NA,NA,11,80,NA,NA,4,2015,0.573,0.237,0.015,3.685
"121","20",NA,NA,NA,10,20,NA,NA,1,2015,0.978,0.025,0,3.434
"122","20",NA,NA,NA,11,26,NA,NA,2,2015,0.929,0.002,0,3.738
"123","20",NA,NA,NA,13,29,NA,NA,3,2015,0.868,0.63,0,3.845
"124","20",NA,NA,NA,16,25,NA,NA,4,2015,0.871,0.723,0,3.652
"125","21",NA,NA,NA,70,677,NA,NA,1,2015,0.772,0.187,0.018,4.074
"126","21",NA,NA,NA,59,668,NA,NA,2,2015,0.679,0.246,0.012,4.888
"127","21",NA,NA,NA,55,457,NA,NA,3,2015,0.599,0.24,0.008,4.581
"128","21",NA,NA,NA,58,319,NA,NA,4,2015,0.641,0.172,0.007,4.019
"129","22",NA,NA,NA,75,293,NA,NA,1,2015,0.635,0.323,0.049,4.454
"130","22",NA,NA,NA,76,495,NA,NA,2,2015,0.533,0.347,0.05,4.954
"131","22",NA,NA,NA,86,471,NA,NA,3,2015,0.545,0.363,0.051,5.01
"132","22",NA,NA,NA,59,234,NA,NA,4,2015,0.586,0.358,0.053,4.011
"133","23",NA,NA,NA,113,723,NA,NA,1,2015,0.397,0.659,0.013,3.945
"134","23",NA,NA,NA,147,816,NA,NA,2,2015,0.482,0.405,0.016,4.26
"135","23",NA,NA,NA,151,776,NA,NA,3,2015,0.434,0.46,0.012,4.743
"136","23",NA,NA,NA,157,721,NA,NA,4,2015,0.279,0.83,0.006,4.145
"137","24",NA,NA,NA,120,740,NA,NA,1,2015,0.607,0.391,-0.037,4.216
"138","24",NA,NA,NA,110,809,NA,NA,2,2015,0.426,0.526,0.012,4.649
"139","24",NA,NA,NA,55,481,NA,NA,3,2015,0.13,0.848,-0.023,4.286
"140","24",NA,NA,NA,38,343,NA,NA,4,2015,-0.003,0.989,-0.016,3.377
"141","25",NA,NA,NA,75,209,NA,NA,1,2015,0.828,0.194,0.004,4.306
"142","25",NA,NA,NA,53,342,NA,NA,2,2015,0.836,0.197,0.004,4.694
"143","25",NA,NA,NA,34,291,NA,NA,3,2015,0.803,0.215,0.004,4.577
"144","25",NA,NA,NA,19,150,NA,NA,4,2015,0.737,0.275,0.004,4.114
"145","26",NA,NA,NA,3,148,NA,NA,1,2015,0.669,0.266,0.006,4.096
"146","26",NA,NA,NA,19,275,NA,NA,2,2015,0.781,0.125,0.006,4.414
"147","26",NA,NA,NA,8,238,NA,NA,3,2015,0.792,0.119,0.006,4.382
"148","26",NA,NA,NA,0,102,NA,NA,4,2015,0.622,0.27,0.006,4.236
"149","27",NA,NA,NA,23,219,NA,NA,1,2015,0.482,0.394,0.032,3.533
"150","27",NA,NA,NA,24,365,NA,NA,2,2015,0.448,0.424,0.072,4.501
"151","27",NA,NA,NA,25,291,NA,NA,3,2015,0.386,0.464,0.027,4.197
"152","27",NA,NA,NA,19,192,NA,NA,4,2015,0.377,0.465,0.149,2.952
"153","28",NA,NA,NA,104,636,NA,NA,1,2015,0.443,0.406,0.026,3.426
"154","28",NA,NA,NA,97,810,NA,NA,2,2015,0.515,0.399,0.031,4.332
"155","28",NA,NA,NA,81,748,NA,NA,3,2015,0.498,0.417,0.022,4.211
"156","28",NA,NA,NA,77,566,NA,NA,4,2015,0.38,0.433,0.018,3.105
"157","29",NA,NA,NA,3,14,NA,NA,1,2015,-0.242,0.494,0.02,4.264
"158","29",NA,NA,NA,5,16,NA,NA,2,2015,0.105,0.527,0.027,5.179
"159","29",NA,NA,NA,8,17,NA,NA,3,2015,-0.066,0.531,0.031,3.835
"160","29",NA,NA,NA,6,10,NA,NA,4,2015,0.137,0.433,0.027,2.581
"161","30",NA,NA,NA,25,72,NA,NA,1,2015,0.785,0.189,0.052,3.204
"162","30",NA,NA,NA,31,114,NA,NA,2,2015,0.581,0.291,0.304,3.921
"163","30",NA,NA,NA,45,226,NA,NA,3,2015,0.289,0.32,0.369,4.159
"164","30",NA,NA,NA,35,188,NA,NA,4,2015,0.139,0.337,0.222,3.675
"165","31",NA,NA,NA,51,128,NA,NA,1,2015,1.035,0.224,0.017,2.896
"166","31",NA,NA,NA,76,231,NA,NA,2,2015,0.733,0.288,0.037,4.272
"167","31",NA,NA,NA,73,258,NA,NA,3,2015,0.5,0.365,0.04,4.455
"168","31",NA,NA,NA,27,191,NA,NA,4,2015,0.314,0.387,0.026,3.385
"169","32",NA,NA,NA,17,-3,NA,NA,1,2015,0.578,0.4,-0.019,2.398
"170","32",NA,NA,NA,24,151,NA,NA,2,2015,0.58,0.398,-0.083,6.092
"171","32",NA,NA,NA,21,206,NA,NA,3,2015,0.569,0.374,-0.102,6.356
"172","32",NA,NA,NA,12,74,NA,NA,4,2015,0.544,0.381,-0.017,3.85
"173","33",NA,NA,NA,35,545,NA,NA,1,2015,0.281,0.889,0.023,3.906
"174","33",NA,NA,NA,101,759,NA,NA,2,2015,0.434,0.608,0.071,5.178
"175","33",NA,NA,NA,83,491,NA,NA,3,2015,0.645,0.271,0.028,5.134
"176","33",NA,NA,NA,28,366,NA,NA,4,2015,0.61,0.101,0.001,3.782
"177","34",NA,NA,NA,26,208,NA,NA,1,2015,0.504,0.422,0.03,4.091
"178","34",NA,NA,NA,23,264,NA,NA,2,2015,0.536,0.422,0.03,5.168
"179","34",NA,NA,NA,12,201,NA,NA,3,2015,0.423,0.439,0.025,5.372
"180","34",NA,NA,NA,9,118,NA,NA,4,2015,0.265,0.463,0.022,4.151
"181","35",NA,NA,NA,40,184,NA,NA,1,2015,0.602,0.291,0.02,3.782
"182","35",NA,NA,NA,43,246,NA,NA,2,2015,0.615,0.274,0.018,3.975
"183","35",NA,NA,NA,36,223,NA,NA,3,2015,0.61,0.381,0.014,3.961
"184","35",NA,NA,NA,22,85,NA,NA,4,2015,0.47,0.559,0.013,3.829
"185","36",NA,NA,NA,44,230,NA,NA,1,2015,0.519,0.475,0.008,3.633
"186","36",NA,NA,NA,50,414,NA,NA,2,2015,0.532,0.461,0.01,4.612
"187","36",NA,NA,NA,24,215,NA,NA,3,2015,0.517,0.483,0.006,4.405
"188","36",NA,NA,NA,16,98,NA,NA,4,2015,0.5,0.489,0.003,3.197
"189","361",NA,NA,NA,4,40,NA,NA,1,2015,-0.22,1.297,0.013,4.419
"190","361",NA,NA,NA,4,58,NA,NA,2,2015,0.053,1.121,0.012,4.709
"191","361",NA,NA,NA,4,37,NA,NA,3,2015,0.182,1.027,0.01,5.063
"192","361",NA,NA,NA,4,25,NA,NA,4,2015,0.227,1.014,0.011,4.774
"193","37",NA,NA,NA,58,302,NA,NA,1,2015,0.393,0.495,0.068,3.091
"194","37",NA,NA,NA,57,412,NA,NA,2,2015,0.841,0.309,0.025,3.981
"195","37",NA,NA,NA,51,369,NA,NA,3,2015,0.817,0.294,0.054,3.855
"196","37",NA,NA,NA,50,227,NA,NA,4,2015,0.575,0.361,0.135,2.771
"197","371",NA,NA,NA,46,207,NA,NA,1,2015,0.537,0.399,0.055,2.895
"198","371",NA,NA,NA,22,202,NA,NA,2,2015,0.87,0.16,-0.03,3.307
"199","371",NA,NA,NA,26,191,NA,NA,3,2015,0.808,0.23,-0.021,3.462
"200","371",NA,NA,NA,32,176,NA,NA,4,2015,0.428,0.46,0.075,2.878
"201","38",NA,NA,NA,7,76,NA,NA,1,2015,1.014,0.011,0.021,3.626
"202","38",NA,NA,NA,17,244,NA,NA,2,2015,1.009,0,0.016,3.741
"203","38",NA,NA,NA,13,203,NA,NA,3,2015,0.974,0.008,0.013,3.548
"204","38",NA,NA,NA,3,78,NA,NA,4,2015,0.966,0.019,0.017,3.476
"205","39",NA,NA,NA,16,72,NA,NA,1,2015,0.722,0.086,0.004,3.94
"206","39",NA,NA,NA,15,95,NA,NA,2,2015,0.792,0.081,0.003,4.497
"207","39",NA,NA,NA,11,80,NA,NA,3,2015,0.909,0.044,0.002,4.305
"208","39",NA,NA,NA,9,41,NA,NA,4,2015,0.947,0.037,0.002,3.474
"209","391",NA,NA,NA,1,10,NA,NA,1,2015,1,0,0,4.253
"210","391",NA,NA,NA,1,9,NA,NA,2,2015,1,0,0,7.668
"211","391",NA,NA,NA,2,8,NA,NA,3,2015,1,0,0,6.753
"212","391",NA,NA,NA,2,8,NA,NA,4,2015,1,0,0,3.099
"213","40",NA,NA,NA,29,59,NA,NA,1,2015,0.713,0.281,0.003,3.732
"214","40",NA,NA,NA,30,58,NA,NA,2,2015,0.641,0.331,0.002,4.27
"215","40",NA,NA,NA,29,57,NA,NA,3,2015,0.588,0.35,0.005,4.102
"216","40",NA,NA,NA,26,55,NA,NA,4,2015,0.595,0.325,0.01,3.696
"217","41",NA,NA,NA,72,441,NA,NA,1,2015,0.557,0.426,0.014,3.867
"218","41",NA,NA,NA,61,356,NA,NA,2,2015,0.503,0.424,0.056,4.11
"219","41",NA,NA,NA,51,354,NA,NA,3,2015,0.548,0.386,0.059,4.009
"220","41",NA,NA,NA,49,312,NA,NA,4,2015,0.588,0.362,0.021,3.314
"221","411",NA,NA,NA,19,139,NA,NA,1,2015,0.351,0.781,0,3.799
"222","411",NA,NA,NA,19,193,NA,NA,2,2015,0.325,0.811,0.025,4.373
"223","411",NA,NA,NA,19,168,NA,NA,3,2015,0.462,0.568,0.082,4.06
"224","411",NA,NA,NA,17,80,NA,NA,4,2015,0.582,0.321,0.118,2.762
"225","42",NA,NA,NA,52,366,NA,NA,1,2015,0.48,0.532,0.035,4.18
"226","42",NA,NA,NA,257,992,NA,NA,2,2015,0.498,0.553,0.037,4.638
"227","42",NA,NA,NA,160,751,NA,NA,3,2015,0.458,0.538,0.034,4.313
"228","42",NA,NA,NA,69,312,NA,NA,4,2015,0.475,0.458,0.035,3.702
"229","421",NA,NA,NA,71,425,NA,NA,1,2015,0.593,0.375,0.048,3.697
"230","421",NA,NA,NA,140,1172,NA,NA,2,2015,0.599,0.384,0.042,5.052
"231","421",NA,NA,NA,41,247,NA,NA,3,2015,0.579,0.401,0.045,4.808
"232","421",NA,NA,NA,38,11,NA,NA,4,2015,0.55,0.425,0.04,3.573
"233","43",NA,NA,NA,59,427,NA,NA,1,2015,0.058,0.603,0.064,4.067
"234","43",NA,NA,NA,70,622,NA,NA,2,2015,0.473,0.328,0.06,4.499
"235","43",NA,NA,NA,74,487,NA,NA,3,2015,0.657,0.403,0.055,4.088
"236","43",NA,NA,NA,60,287,NA,NA,4,2015,0.341,0.509,0.055,4.004
"237","44",NA,NA,NA,42,277,NA,NA,1,2015,0.394,0.675,0.026,4.161
"238","44",NA,NA,NA,39,381,NA,NA,2,2015,0.591,0.272,0.038,4.651
"239","44",NA,NA,NA,35,306,NA,NA,3,2015,0.628,0.403,0.042,4.159
"240","44",NA,NA,NA,34,205,NA,NA,4,2015,0.47,0.84,0.043,3.606
"241","444",NA,NA,NA,21,76,NA,NA,1,2015,0.817,-0.056,0.031,3.714
"242","444",NA,NA,NA,37,427,NA,NA,2,2015,0.793,0.07,0.041,4.624
"243","444",NA,NA,NA,33,335,NA,NA,3,2015,0.725,0.062,0.044,4.575
"244","444",NA,NA,NA,26,155,NA,NA,4,2015,0.599,0.234,0.047,4.108
"245","45",NA,NA,NA,-2,180,NA,NA,1,2015,0.378,0.448,0.03,3.354
"246","45",NA,NA,NA,10,245,NA,NA,2,2015,0.455,0.497,0.024,4.433
"247","45",NA,NA,NA,18,229,NA,NA,3,2015,0.486,0.42,0.024,4.689
"248","45",NA,NA,NA,17,161,NA,NA,4,2015,0.416,0.555,0.02,3.99
"249","46",NA,NA,NA,9,47,NA,NA,1,2015,0.581,0.389,0.016,4.209
"250","46",NA,NA,NA,12,54,NA,NA,2,2015,0.556,0.436,0.014,3.978
"251","46",NA,NA,NA,8,43,NA,NA,3,2015,0.584,0.39,0.013,4.028
"252","46",NA,NA,NA,2,30,NA,NA,4,2015,0.601,0.37,0.014,3.537
"253","461",NA,NA,NA,1,15,NA,NA,1,2015,1,0,0,3.573
"254","461",NA,NA,NA,2,15,NA,NA,2,2015,1,0,0,2.783
"255","461",NA,NA,NA,2,16,NA,NA,3,2015,1,0,0,3.275
"256","461",NA,NA,NA,1,16,NA,NA,4,2015,1,0,0,2.782
"257","47",NA,NA,NA,19,127,NA,NA,1,2015,0.433,0.564,0.005,3.94
"258","47",NA,NA,NA,29,194,NA,NA,2,2015,0.568,0.392,0.008,4.569
"259","47",NA,NA,NA,28,165,NA,NA,3,2015,0.515,0.449,0.006,4.572
"260","47",NA,NA,NA,21,111,NA,NA,4,2015,0.317,0.703,0.009,4.18
"261","471",NA,NA,NA,5,36,NA,NA,1,2015,0.266,0.679,0.008,3.318
"262","471",NA,NA,NA,8,46,NA,NA,2,2015,0.311,0.56,0.012,3.422
"263","471",NA,NA,NA,6,38,NA,NA,3,2015,0.173,0.725,0.017,3.423
"264","471",NA,NA,NA,6,36,NA,NA,4,2015,0.136,0.91,0.012,3.356
"265","48",NA,NA,NA,24,57,NA,NA,1,2015,0.744,0.092,0.047,4.211
"266","48",NA,NA,NA,24,98,NA,NA,2,2015,0.622,0.156,0.154,5.265
"267","48",NA,NA,NA,19,67,NA,NA,3,2015,0.402,0.172,0.325,5.175
"268","48",NA,NA,NA,18,52,NA,NA,4,2015,0.36,0.337,0.346,4.154
"269","481",NA,NA,NA,29,72,NA,NA,1,2015,0.825,0.129,0.061,4.075
"270","481",NA,NA,NA,53,119,NA,NA,2,2015,0.652,0.19,0.179,4.49
"271","481",NA,NA,NA,46,102,NA,NA,3,2015,0.421,0.357,0.265,4.19
"272","481",NA,NA,NA,10,62,NA,NA,4,2015,0.289,0.424,0.291,3.504
"273","49",NA,NA,NA,51,114,NA,NA,1,2015,0.856,0.091,0.031,3.632
"274","49",NA,NA,NA,62,188,NA,NA,2,2015,0.558,0.363,0.036,4.195
"275","49",NA,NA,NA,57,162,NA,NA,3,2015,0.227,0.672,0.043,4.462
"276","49",NA,NA,NA,55,156,NA,NA,4,2015,0.004,0.839,0.093,4.202
"277","50",NA,NA,NA,11,65,NA,NA,1,2015,0.84,0.111,0.001,3.918
"278","50",NA,NA,NA,20,161,NA,NA,2,2015,0.629,0.474,0.002,4.58
"279","50",NA,NA,NA,21,194,NA,NA,3,2015,0.478,0.714,0.002,4.714
"280","50",NA,NA,NA,24,103,NA,NA,4,2015,0.592,0.515,0,3.573
"281","500",NA,NA,NA,31,100,NA,NA,1,2015,0.74,0.198,0.03,3.577
"282","500",NA,NA,NA,35,211,NA,NA,2,2015,0.472,0.33,0.261,4.388
"283","500",NA,NA,NA,27,119,NA,NA,3,2015,0.209,0.464,0.266,4.101
